timestep,message
1781010520,Zarejestrowano: residential (priorytet 3)
1781010520,Zarejestrowano: industrial (priorytet 2)
1781010520,Zarejestrowano: critical (priorytet 1)
1781010521,Predictor: zmiana mocy OZE o -0.4 MW w ciągu 5 kroków
1,"[Pogoda] Wiatr: 10.1 km/h | Słońce: 49%
[Produkcja] OZE: 10.2 MW | Konwencjonalna: 0.0 MW | Baterie: 60% (SoC)
[Sieć] Popyt: 0.0 MW | Bilans: 10.2 MW | Stan: STABLE"
1781010521,Predictor: zmiana mocy OZE o 0.1 MW w ciągu 5 kroków
2,"[Pogoda] Wiatr: 11.5 km/h | Słońce: 49%
[Produkcja] OZE: 13.3 MW | Konwencjonalna: 0.0 MW | Baterie: 57% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1781010521,Predictor: zmiana mocy OZE o -4.5 MW w ciągu 5 kroków
3,"[Pogoda] Wiatr: 4.4 km/h | Słońce: 45%
[Produkcja] OZE: 2.0 MW | Konwencjonalna: 0.0 MW | Baterie: 43% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1781010521,Predictor: zmiana mocy OZE o -0.6 MW w ciągu 5 kroków
4,"[Pogoda] Wiatr: 4.6 km/h | Słońce: 45%
[Produkcja] OZE: 2.1 MW | Konwencjonalna: 0.0 MW | Baterie: 30% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1781010521,Predictor: zmiana mocy OZE o -5.1 MW w ciągu 5 kroków
5,"[Pogoda] Wiatr: 3.4 km/h | Słońce: 52%
[Produkcja] OZE: 1.2 MW | Konwencjonalna: 0.0 MW | Baterie: 15% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1781010521,Predictor: zmiana mocy OZE o -0.8 MW w ciągu 5 kroków
6,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
6,"[Pogoda] Wiatr: 4.0 km/h | Słońce: 54%
[Produkcja] OZE: 1.0 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 2.7 MW | Stan: CRITICAL"
5,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
1781010521,Predictor: zmiana mocy OZE o -2.0 MW w ciągu 5 kroków
7,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
7,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
7,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
