timestep,message
1,"[Pogoda] Wiatr: 9.6 km/h | Słońce: 56%
[Produkcja] OZE: 9.2 MW | Konwencjonalna: 0.0 MW | Baterie: 59% (SoC)
[Sieć] Popyt: 0.0 MW | Bilans: 9.2 MW | Stan: STABLE"
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,Prognoza: zmiana mocy OZE o 2.1 MW
1780341950,residential chce 3.0 MW (priorytet 3)
1780341950,industrial chce 5.0 MW (priorytet 2)
1780341950,Prognoza: zmiana mocy OZE o 8.0 MW
2,"[Pogoda] Wiatr: 13.5 km/h | Słońce: 57%
[Produkcja] OZE: 18.8 MW | Konwencjonalna: 0.0 MW | Baterie: 62% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 2.8 MW | Stan: STABLE"
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,residential chce 3.0 MW (priorytet 3)
1780341950,industrial chce 5.0 MW (priorytet 2)
1780341950,Prognoza: zmiana mocy OZE o 4.2 MW
3,"[Pogoda] Wiatr: 17.4 km/h | Słońce: 50%
[Produkcja] OZE: 30.2 MW | Konwencjonalna: 0.0 MW | Baterie: 76% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 14.2 MW | Stan: STABLE"
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,residential chce 3.0 MW (priorytet 3)
1780341950,industrial chce 5.0 MW (priorytet 2)
1780341950,Prognoza: zmiana mocy OZE o 2.5 MW
4,"[Pogoda] Wiatr: 17.5 km/h | Słońce: 64%
[Produkcja] OZE: 30.3 MW | Konwencjonalna: 0.0 MW | Baterie: 90% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 14.3 MW | Stan: STABLE"
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,industrial chce 5.0 MW (priorytet 2)
1780341950,residential chce 3.0 MW (priorytet 3)
1780341950,Prognoza: zmiana mocy OZE o -0.6 MW
5,"[Pogoda] Wiatr: 20.1 km/h | Słońce: 65%
[Produkcja] OZE: 42.4 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 26.4 MW | Stan: STABLE"
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,industrial chce 5.0 MW (priorytet 2)
1780341950,residential chce 3.0 MW (priorytet 3)
1780341950,Prognoza: zmiana mocy OZE o 2.4 MW
